,행정동명,시군구명,거주인구대비취약자수,거주인구대비취약자백분위수,미세먼지지수,미세먼지백분위,행정구역면적,공원수,공원율
214,연남동,마포구,3290,51.0,13.844,5,0.647,2,0.31
215,성산1동,마포구,4358,62.0,13.844,5,0.8586,4,12.31
216,성산2동,마포구,10204,94.0,27.689,37,1.9773,11,9.0
217,상암동,마포구,8467,90.0,15.34,15,8.3963,18,30.06
218,도화동,마포구,5641,74.0,37.855,45,0.6246,2,0.58
219,서강동,마포구,5516,73.0,83.866,57,1.4775,8,6.66
220,공덕동,마포구,8711,90.0,68.63,54,1.0184,4,0.67
221,아현동,마포구,6299,79.0,49.703,49,0.7438,5,0.85
222,목1동,양천구,8467,90.0,14.838,12,1.4321,2,1.66
223,목2동,양천구,6600,81.0,14.838,12,1.0206,3,25.68
224,목3동,양천구,4965,68.0,14.838,12,0.5315,3,0.51
225,목4동,양천구,5864,76.0,14.838,12,0.5771,4,0.66
226,신월1동,양천구,5591,73.0,14.838,11,0.6219,5,0.8
227,신월2동,양천구,5933,76.0,14.838,11,0.6064,3,0.49
228,신월3동,양천구,4208,61.0,14.838,11,0.9176,3,23.99
229,신월4동,양천구,5291,71.0,14.838,11,0.4695,5,1.09
230,신월5동,양천구,3825,57.0,14.838,11,0.6379,4,0.53
231,신월6동,양천구,3590,55.0,14.838,11,0.444,2,0.97
232,신월7동,양천구,5949,76.0,14.838,11,1.1784,8,9.51
233,신정1동,양천구,5883,76.0,14.838,11,0.747,7,4.08
234,신정2동,양천구,5057,69.0,14.838,11,0.5255,2,0.42
235,신정3동,양천구,12444,97.0,14.838,11,2.7546,14,61.05
236,신정6동,양천구,6278,79.0,14.838,12,0.9402,7,5.2
237,신정7동,양천구,8160,88.0,14.838,11,1.2332,4,11.85
238,목5동,양천구,11160,96.0,14.838,12,1.7651,9,3.96
239,신정4동,양천구,8354,89.0,14.838,12,0.9964,10,0.97
240,염창동,강서구,10326,95.0,30.68,39,1.7316,4,6.68
241,등촌1동,강서구,4481,64.0,15.34,15,0.6503,4,0.6
242,등촌2동,강서구,4983,68.0,15.34,15,0.0,0,0.0
243,등촌3동,강서구,8708,90.0,15.34,15,1.0596,9,2.21
244,화곡본동,강서구,8058,88.0,14.838,12,0.9714,14,104.61
245,화곡2동,강서구,4700,66.0,14.838,12,0.4543,3,0.66
246,화곡3동,강서구,5881,76.0,14.838,12,0.5215,5,1.07
247,화곡4동,강서구,5517,73.0,14.838,12,0.8514,5,0.58
248,화곡6동,강서구,5592,73.0,14.838,12,1.0372,5,7.52
249,화곡8동,강서구,6285,79.0,14.838,11,0.5935,6,1.97
250,가양1동,강서구,5290,71.0,30.68,39,4.9671,12,26.38
251,가양2동,강서구,4369,62.0,15.34,15,0.8233,5,6.85
252,가양3동,강서구,4315,62.0,15.34,15,0.4739,3,0.99
253,발산1동,강서구,10398,95.0,47.523,48,2.8744,8,13.24
254,공항동,강서구,6976,83.0,98.902,58,10.8646,7,0.47
255,방화1동,강서구,12750,98.0,47.922,48,1.4745,13,3.02
256,방화2동,강서구,6228,78.0,32.582,40,6.1531,7,0.19
257,방화3동,강서구,6809,82.0,16.291,19,2.5571,9,25.31
258,화곡1동,강서구,11799,97.0,14.838,11,1.1969,13,3.71
259,우장산동,강서구,11886,97.0,29.676,38,1.2607,8,29.41
260,신도림동,구로구,9753,93.0,17.357,29,1.3918,3,0.83
261,구로1동,구로구,5305,71.0,15.774,17,1.0082,0,0.0
262,구로3동,구로구,5707,74.0,15.774,17,1.0394,2,0.2
263,구로4동,구로구,6544,81.0,15.774,17,0.5241,2,1.66
264,구로5동,구로구,7768,87.0,15.774,18,1.0117,2,0.55
265,고척1동,구로구,6722,82.0,17.357,29,1.1504,1,0.03
266,고척2동,구로구,7871,87.0,17.357,28,1.0248,6,26.25
267,개봉2동,구로구,9371,92.0,17.357,29,0.782,1,0.23
268,개봉3동,구로구,5955,76.0,17.357,29,0.8278,5,50.04
269,오류1동,구로구,5750,75.0,17.357,28,0.7273,2,151.95
270,수궁동,구로구,6426,80.0,36.217,44,2.6594,5,0.32
271,가리봉동,구로구,3475,53.0,15.774,17,0.4107,0,0.0
272,구로2동,구로구,8739,91.0,15.774,18,1.7021,3,0.4
273,개봉1동,구로구,9640,93.0,17.357,28,1.3189,2,0.26
274,오류2동,구로구,12132,97.0,34.714,43,4.5047,9,5.69
275,항동,구로구,4801,67.0,17.357,29,1.4,2,13.33
276,가산동,금천구,3859,57.0,17.357,28,2.511,3,0.15
277,독산1동,금천구,10075,94.0,14.245,8,2.0604,8,2.13
278,독산2동,금천구,5101,69.0,14.245,8,0.6167,6,0.97
279,독산3동,금천구,6823,82.0,14.245,8,0.9343,7,3.44
280,독산4동,금천구,4302,62.0,14.245,8,0.5906,5,6.03
281,시흥1동,금천구,9466,93.0,14.245,8,1.5228,6,0.53
282,시흥2동,금천구,6400,80.0,14.245,8,1.3079,0,0.0
283,시흥3동,금천구,3066,49.0,14.245,8,1.2605,6,0.82
284,시흥4동,금천구,5803,75.0,14.245,8,0.8211,8,1.61
285,시흥5동,금천구,5681,74.0,14.245,8,1.386,3,0.87
286,여의동,영등포구,9749,93.0,16.773,24,8.4313,4,3.04
287,당산1동,영등포구,4758,66.0,50.32,49,0.7447,1,1.5
288,당산2동,영등포구,7993,88.0,67.093,53,1.5802,7,0.66
289,양평1동,영등포구,3839,57.0,50.32,49,0.9742,1,0.15
290,양평2동,영등포구,4959,68.0,100.64,60,2.8725,3,4.4
291,신길1동,영등포구,4390,63.0,15.774,17,0.7224,2,8.01
292,신길3동,영등포구,4788,67.0,15.774,17,0.5197,1,0.33
293,신길4동,영등포구,2905,48.0,15.774,17,0.2919,0,0.0
294,신길5동,영등포구,3313,51.0,31.547,39,0.4943,2,4.27
295,신길6동,영등포구,4492,64.0,15.774,17,0.6555,1,0.12
296,신길7동,영등포구,5314,71.0,15.774,17,0.6395,1,0.16
297,대림1동,영등포구,4746,66.0,15.774,17,0.4986,2,1.48
298,대림2동,영등포구,5092,69.0,15.774,17,0.5721,1,0.28
299,대림3동,영등포구,7070,84.0,15.774,17,0.921,5,1.38
300,영등포본동,영등포구,6224,78.0,32.547,40,0.8458,2,7.92
301,영등포동,영등포구,5176,70.0,150.959,71,1.3711,4,1.09
302,도림동,영등포구,5079,69.0,15.774,17,0.5855,2,0.84
303,문래동,영등포구,9536,93.0,100.64,60,1.7854,5,1.64
304,노량진2동,동작구,3160,50.0,15.774,17,0.6001,0,0.0
305,상도1동,동작구,10765,96.0,34.41,43,1.4875,3,0.23
306,상도2동,동작구,7247,85.0,17.205,28,0.7723,7,1.04
307,상도3동,동작구,6116,78.0,17.205,28,0.6367,5,1.04
308,상도4동,동작구,7222,85.0,17.205,28,0.9389,1,0.03
309,사당1동,동작구,4760,66.0,17.205,28,0.6347,2,0.35
310,사당3동,동작구,6958,83.0,17.205,27,0.907,5,126.57
311,사당4동,동작구,3567,54.0,17.205,27,0.4358,5,0.73
312,사당5동,동작구,3679,55.0,17.205,27,0.6817,4,0.37
313,대방동,동작구,9604,1.4,15.774,17,1.5438,3,27.26
314,신대방1동,동작구,6864,83.0,15.774,17,0.6748,4,0.95
315,신대방2동,동작구,5181,70.0,15.774,17,0.9763,1,43.44
316,흑석동,동작구,8538,90.0,17.205,27,1.7071,6,22.75
317,노량진1동,동작구,8156,88.0,34.701,43,1.6123,4,8.18
318,사당2동,동작구,7323,85.0,34.41,43,2.7611,3,75.46
319,보라매동,관악구,6152,78.0,17.205,27,0.7497,4,0.15
320,청림동,관악구,4417,63.0,17.205,27,0.2969,0,0.0
321,행운동,관악구,5872,76.0,17.205,27,0.7177,6,9.7
322,낙성대동,관악구,3038,49.0,17.205,27,2.2611,5,0.5
323,중앙동,관악구,2902,48.0,17.205,27,0.3844,2,0.73
324,인헌동,관악구,5586,73.0,17.205,27,1.0883,5,0.42
325,남현동,관악구,3990,58.0,16.457,20,3.2786,5,0.18
326,서원동,관악구,4177,60.0,14.245,8,0.6471,5,20.43
327,신원동,관악구,4183,60.0,14.245,8,0.5446,1,0.07
328,서림동,관악구,4559,64.0,14.245,8,0.9405,4,0.4
329,신사동(관악구),관악구,5244,71.0,14.245,8,0.6406,2,0.3
330,신사동(강남구),강남구,4296,62.0,24.689,36,2.0577,8,1.42
331,신림동,관악구,2545,43.0,14.245,8,0.5408,2,0.35
332,난향동,관악구,4517,64.0,14.245,8,0.8208,1,0.12
333,조원동,관악구,3993,58.0,14.245,8,0.6661,2,0.3
334,대학동,관악구,3922,58.0,14.245,8,8.399,7,0.15
335,은천동,관악구,9174,92.0,17.205,27,0.7756,6,58.16
336,성현동,관악구,8407,89.0,17.205,28,0.6777,0,0.0
337,청룡동,관악구,6293,79.0,17.205,28,1.1947,7,0.74
338,난곡동,관악구,7269,85.0,14.245,8,0.9717,4,1.25
339,삼성동,관악구,6969,83.0,14.245,8,2.6025,4,0.14
340,미성동,관악구,8362,89.0,14.245,8,1.3584,8,6.97
341,서초1동,서초구,5275,71.0,13.996,6,1.3816,3,0.25
342,서초2동,서초구,4575,65.0,13.996,6,1.23,3,0.24
343,서초3동,서초구,7070,84.0,31.201,39,2.9963,7,0.23
344,서초4동,서초구,8751,91.0,13.996,6,0.8791,2,0.74
345,잠원동,서초구,6926,83.0,12.345,1,1.7555,9,1.44
346,반포본동,서초구,3089,50.0,17.205,27,0.9718,4,1.18
347,반포1동,서초구,8128,88.0,17.205,27,0.9916,5,0.66
348,반포2동,서초구,5166,70.0,17.205,27,1.395,2,2.17
349,반포3동,서초구,5995,77.0,12.345,1,1.2508,5,0.92
350,반포4동,서초구,5510,72.0,17.205,27,1.4261,3,0.59
351,방배본동,서초구,5398,72.0,17.205,28,0.677,1,0.15
352,방배1동,서초구,4249,61.0,17.205,28,0.6887,1,0.17
353,방배2동,서초구,5210,70.0,17.205,27,1.9026,6,32.77
354,방배3동,서초구,5472,72.0,17.205,27,2.3734,7,9.94
355,방배4동,서초구,6042,77.0,17.205,27,0.9488,2,0.72
356,양재1동,서초구,12823,98.0,31.186,39,5.761,26,82.66
357,양재2동,서초구,4834,67.0,31.186,39,7.5565,19,5.57
358,내곡동,서초구,5632,74.0,50.458,49,12.6991,14,40.69
359,논현1동,강남구,3770,56.0,12.345,1,1.2578,2,2.51
360,논현2동,강남구,4546,64.0,12.345,1,1.4574,6,0.54
361,삼성1동,강남구,3334,52.0,12.345,2,1.9432,3,17.05
362,삼성2동,강남구,7098,84.0,12.345,2,1.2413,1,0.1
363,대치1동,강남구,6859,83.0,16.56,23,0.8092,8,7.27
364,대치4동,강남구,3578,54.0,16.56,23,0.7005,2,0.47
365,역삼1동,강남구,4920,68.0,13.996,6,2.3603,6,2.37
366,역삼2동,강남구,8738,91.0,13.996,6,1.1342,9,0.88
367,도곡1동,강남구,5481,72.0,13.996,6,1.0498,4,26.89
368,도곡2동,강남구,9424,92.0,13.996,6,0.99,8,27.03
369,개포1동,강남구,2045,36.0,16.56,23,1.4488,0,0.0
370,개포4동,강남구,4821,67.0,16.56,23,1.6642,1,0.1
371,일원본동,강남구,6592,81.0,33.12,42,2.3528,8,121.0
372,일원1동,강남구,4183,60.0,33.12,42,0.9528,1,1.48
373,일원2동,강남구,4986,68.0,49.679,49,1.2993,4,2.16
374,수서동,강남구,4969,68.0,16.56,23,1.6281,4,0.88
375,세곡동,강남구,13179,98.0,49.197,48,6.3628,22,8.41
376,압구정동,강남구,8025,88.0,24.689,36,2.3433,3,1.69
377,청담동,강남구,6454,80.0,12.345,1,2.3274,5,3.51
378,대치2동,강남구,8948,91.0,16.56,23,1.836,3,0.27
379,개포2동,강남구,5547,73.0,33.12,42,2.2416,12,6.0
380,풍납1동,송파구,3943,58.0,14.731,11,1.0745,2,2.23
381,풍납2동,송파구,6374,79.0,14.731,11,2.5626,3,0.28
382,거여1동,송파구,3372,52.0,17.603,30,0.5697,7,11.2
383,거여2동,송파구,4726,66.0,17.603,30,0.6124,6,2.81
384,마천1동,송파구,5677,74.0,17.603,30,0.5748,11,9.99
385,마천2동,송파구,5513,73.0,17.603,30,0.89,7,23.53
386,방이1동,송파구,3808,57.0,17.327,28,0.6088,4,5.72
387,방이2동,송파구,4960,68.0,17.327,28,0.7692,6,1.91
388,오륜동,송파구,5135,70.0,17.327,28,3.0827,1,46.94
389,오금동,송파구,10195,94.0,17.603,30,1.6475,15,20.93
390,송파1동,송파구,5018,69.0,16.56,23,0.6864,6,2.74
391,송파2동,송파구,5139,70.0,16.56,23,0.6305,5,3.27
392,석촌동,송파구,6742,82.0,16.56,23,0.9462,5,5.53
393,삼전동,송파구,6346,79.0,16.56,23,0.9526,7,18.52
394,가락본동,송파구,6083,77.0,16.56,23,1.014,9,5.84
395,가락1동,송파구,7161,84.0,16.56,23,1.3921,2,1.49
396,가락2동,송파구,8065,88.0,16.56,23,0.9316,9,66.31
397,문정1동,송파구,4754,66.0,17.603,30,0.612,4,4.69
398,문정2동,송파구,5850,76.0,35.205,44,2.2403,10,5.88
399,잠실본동,송파구,5652,74.0,16.56,23,1.0282,6,1.41
400,잠실4동,송파구,6554,81.0,14.731,10,0.0,0,0.0
401,잠실6동,송파구,4892,67.0,14.731,10,1.5068,4,20.39
402,잠실7동,송파구,2914,48.0,16.56,23,0.7229,1,9.13
403,잠실2동,송파구,10414,95.0,16.56,23,2.6848,2,0.92
404,잠실3동,송파구,10223,95.0,16.56,23,1.5414,4,2.19
405,장지동,송파구,7662,86.0,35.205,44,1.2774,12,7.17
406,위례동,송파구,8773,91.0,35.205,44,2.4876,5,9.73
407,강일동,강동구,9803,94.0,32.123,40,3.6447,8,5.71
408,명일1동,강동구,6848,82.0,17.327,28,0.6345,8,6.76
409,명일2동,강동구,4619,65.0,17.327,28,0.9136,2,0.44
410,고덕1동,강동구,7794,87.0,14.797,11,1.5173,5,2.82
411,고덕2동,강동구,6147,78.0,14.797,11,2.205,7,12.12
412,암사2동,강동구,4085,59.0,14.797,11,2.1726,2,0.12
413,암사3동,강동구,5332,71.0,14.797,11,1.798,4,0.63
414,천호1동,강동구,6986,83.0,17.327,28,0.6685,5,0.64
415,천호3동,강동구,6286,79.0,17.327,28,0.5614,2,0.46
416,성내1동,강동구,5141,70.0,17.327,28,0.6632,3,1.91
417,성내2동,강동구,5714,74.0,17.327,28,0.6247,1,0.37
418,성내3동,강동구,5534,73.0,17.327,28,0.6469,3,0.56
419,둔촌1동,강동구,14,1.0,17.327,28,0.9115,0,0.0
420,둔촌2동,강동구,7035,84.0,17.327,28,1.5492,3,42.63
421,암사1동,강동구,9094,92.0,14.797,11,0.7349,4,1.21
422,천호2동,강동구,8981,91.0,17.327,28,1.8494,7,1.89
423,길동,강동구,11189,96.0,17.327,28,1.6303,5,5.2
424,상일1동,강동구,9347,92.0,17.327,28,1.8122,9,73.05
425,상일2동,강동구,9347,92.0,17.327,28,1.8122,9,73.05
